Date2019,Attendance2019
31/03/2019,2650,
7/04/2019,4100,,
12/04/2019,3000,,
20/04/2019,4500,,
25/04/2019,7252,,
5/05/2019,500,,
10/05/2019,2950,,
17/05/2019,1300,,
25/05/2019,2500,,
2/06/2019,2000,,
15/06/2019,2900,,
23/06/2019,4300,,
30/06/2019,4560,,
7/07/2019,1100,,
9/08/2019,1075,,
17/08/2019,2450,,
31/08/2017,4250,,
15/09/2019,2650,,
20/09/2019,450,,
25/09/2019,2000,,
29/09/2019,2200,,
4/10/2019,0,,
19/10/2019,2300,,
26/10/2019,1128,,
30/10/2019,1300,,
4/11/2019,2350,,
9/11/2019,1732,,
24/11/2019,1200,,
1/12/2019,1015,,
